PER-PAGE KEYWORD SETS — Primary + Secondary + Long-Tail Variations,,,,,,
"For each page: use PRIMARY keyword in title, H1, URL slug, and meta description. Weave SECONDARY keywords into H2s, body paragraphs, and image alt text. Use LONG-TAIL variations in FAQ sections, subheadings, and supporting sentences. Aim to naturally include all keywords — never stuff.",,,,,,
"KEY:   🔑 PRIMARY = own this word in the page's title/H1/URL  |  2️⃣ SECONDARY = weave into H2s and body  |  🔍 LONG-TAIL = FAQ sections, supporting sentences, alt text",,,,,,
Page URL  /  Keyword,Role,Vol,Diff,Intent,Where to Use on the Page,Priority
▌ SERVICE PAGES,,,,,,
  /retained  ·  Service  ·  Fractional CTO / Head of Operations — retained basis,,,,,,
fractional cto,🔑 Primary,590,8,Commercial,"Title, H1, URL slug, intro paragraph, meta desc",P1 — Urgent
hire fractional cto,2️⃣ Secondary,170,3,Commercial,"H2, CTA button text, FAQ question",P2 — High
fractional cto services,2️⃣ Secondary,110,6,Commercial,"Subheading, service description para",P2 — High
managed it support,2️⃣ Secondary,3600,20,Informational,"FAQ section — ""Is this like managed IT support?""",P2 — High
it manager small business,2️⃣ Secondary,200,15,Informational,Body copy — alternative framing,P2 — High
fractional cto for print business,🔍 Long-tail,20,4,Commercial,H2 variant / alt text,P3 — Medium
part time cto small business,🔍 Long-tail,30,6,Commercial,"FAQ — ""Do I need a full-time CTO?""",P3 — Medium
technology leadership without full time hire,🔍 Long-tail,10,5,Commercial,Value prop sentence,P3 — Medium
fractional cto decorated goods,🔍 Long-tail,10,3,Commercial,Sector-specific CTA,P3 — Medium
operations director fractional,🔍 Long-tail,40,8,Commercial,Secondary service framing,P3 — Medium
  /clarity  ·  Service  ·  One-day technology and operations audit,,,,,,
technology audit small business,🔑 Primary,260,18,Commercial,"Title, H1, meta desc, intro",P1 — Urgent
software audit,2️⃣ Secondary,390,25,Commercial,"H2, service description",P2 — High
audit management software,2️⃣ Secondary,590,21,Commercial,"FAQ — ""Do I need audit software?""",P2 — High
internal audit software,2️⃣ Secondary,320,22,Commercial,"Body copy, comparison angle",P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,"Body — ""includes ERP audit""",P2 — High
iso 9001 consultant,2️⃣ Secondary,590,17,Informational,"FAQ — ""Is this ISO preparation?""",P2 — High
operations audit for print business,🔍 Long-tail,20,8,Commercial,Sector-specific H2,P3 — Medium
technology audit decorated goods business,🔍 Long-tail,10,5,Commercial,Alt title variant,P3 — Medium
it audit small manufacturer,🔍 Long-tail,30,10,Commercial,Body para,P3 — Medium
ecommerce audit small business,🔍 Long-tail,40,12,Commercial,Audit area bullet point,P3 — Medium
ai readiness assessment small business,🔍 Long-tail,170,14,Informational,Audit area 6 description,P3 — Medium
  /deliver  ·  Service  ·  Vendor selection and project delivery,,,,,,
erp implementation consultant,🔑 Primary,260,22,Commercial,"Title, H1, meta desc",P1 — Urgent
erp implementation,2️⃣ Secondary,1000,22,Informational,"H2, body copy intro",P2 — High
manufacturing erp software,2️⃣ Secondary,880,24,Commercial,"Body — ""for manufacturing and decoration""",P2 — High
erp solutions for manufacturing,2️⃣ Secondary,590,16,Informational,Service description,P2 — High
erp for small business,2️⃣ Secondary,590,16,Informational,Segment targeting para,P2 — High
artwork management software,2️⃣ Secondary,110,14,Commercial,Scope list — what deliver covers,P2 — High
erp selection service decorated goods,🔍 Long-tail,15,8,Commercial,Sector-specific H2,P3 — Medium
vendor management print embroidery,🔍 Long-tail,10,7,Commercial,Body para,P3 — Medium
independent erp consultant uk,🔍 Long-tail,40,12,Commercial,"Value prop — ""no vendor ties""",P3 — Medium
erp procurement support small business,🔍 Long-tail,20,10,Commercial,Service scope bullet,P3 — Medium
b2b portal implementation workwear,🔍 Long-tail,10,5,Commercial,Use case example,P3 — Medium
  /transform  ·  Service  ·  Full technology transformation programme,,,,,,
erp implementation,🔑 Primary,1000,22,Informational,"Title, H1, meta desc — ""implementation programme""",P1 — Urgent
manufacturing erp software,2️⃣ Secondary,880,24,Commercial,"H2, system types covered",P2 — High
erp solutions for manufacturing,2️⃣ Secondary,590,16,Informational,Body copy,P2 — High
solution architect,2️⃣ Secondary,260,25,Informational,"Body — ""Craig as your solution architect""",P2 — High
systems architecture,2️⃣ Secondary,210,22,Informational,Scope description,P2 — High
iso 9001 implementation,2️⃣ Secondary,320,20,Informational,"Transform outcome — ""ISO-ready processes""",P2 — High
erp transformation programme decorated goods,🔍 Long-tail,10,6,Commercial,Sector-specific H2,P3 — Medium
technology transformation print business,🔍 Long-tail,10,5,Commercial,Alt H1 variant,P3 — Medium
systems integration workwear business,🔍 Long-tail,15,7,Commercial,Scope bullet,P3 — Medium
ecommerce erp integration implementation,🔍 Long-tail,20,9,Commercial,Use case section,P3 — Medium
b2b portal build workwear,🔍 Long-tail,10,5,Commercial,Productised asset example,P3 — Medium
  /small-business  ·  Service  ·  Remote operations support for businesses under £500k,,,,,,
small business operations consultant,🔑 Primary,140,12,Commercial,"Title, H1, meta desc",P1 — Urgent
fractional cto,2️⃣ Secondary,590,8,Commercial,"H2 — ""Fractional CTO for small businesses""",P2 — High
hire fractional cto,2️⃣ Secondary,170,3,Commercial,CTA button,P2 — High
managed it support services,2️⃣ Secondary,1900,25,Commercial,"FAQ — ""Is this managed IT?""",P2 — High
it manager small business,2️⃣ Secondary,200,15,Informational,"Body — ""without a full-time IT manager""",P2 — High
ai readiness check,2️⃣ Secondary,170,10,Commercial,Service card — AI Readiness,P2 — High
operations consultant under 500k business,🔍 Long-tail,10,5,Commercial,Target segment para,P3 — Medium
remote technology consultant small business,🔍 Long-tail,30,8,Commercial,Format description,P3 — Medium
fixed price it consultant small business,🔍 Long-tail,20,7,Commercial,Pricing section,P3 — Medium
ai readiness small business uk,🔍 Long-tail,50,9,Commercial,Service description,P3 — Medium
small business erp advice,🔍 Long-tail,40,8,Commercial,Service scope,P3 — Medium
▌ PROBLEM PAGES,,,,,,
  /problems/erp-implementation-failure  ·  Problem  ·  ERP projects that go wrong,,,,,,
